white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
Mamin_Sin,SamusVariation,2035,1879,1-0,Sicilian Defense: Smith-Morra Gambit,B21,https://lichess.org/eHhQgxbw,60+0,Time forfeit,,,bullet,,,,,1910,99,1222,,,unknown,,,,,0,0,0
njaldulanto,arcivolimiju,1744,1152,1-0,Queen's Pawn Game: Chigorin Variation,D02,https://lichess.org/EngNFXjO,900+15,Normal,,,unknown,,,,,0,0,0,,,puzzle,,,,,6,0,35
claudinho,betonh,1472,1463,1-0,Giuoco Piano,C50,https://lichess.org/2MygU5tn,300+0,Normal,,,blitz,,,,,23130,821,13588,,,blitz,,1246.0,,,20476,1280,22832
bloom13,gaj1c,1534,1345,1-0,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",D02,https://lichess.org/HRFwimwp,720+0,Normal,,,puzzle,,,,,408,17,337,,,blitz,,1070.0,,,188,18,227
hugo_giraldo,sir0knightfall,1307,1646,0-1,Sicilian Defense: Old Sicilian,B30,https://lichess.org/3zvwSc1Q,120+0,Normal,,,bullet,,,,,391,18,909,,,blitz,,,,,6530,146,2291
Tyrant-I,TheCleaner,1728,1951,0-1,Queen's Gambit Accepted,D20,https://lichess.org/Ww8vH80G,300+0,Time forfeit,,,bullet,1797.0,,1901.0,,25964,1729,25940,,,puzzle,,,,,3547,76,802
Sunmachine,log2309,1612,2039,0-1,French Defense: Steiner Variation,C00,https://lichess.org/nUIRkGmH,180+0,Normal,,,bullet,,1604.0,1797.0,,15340,595,28839,,,blitz,,,,,3296,310,2355
jckesh11,dayton2112,1668,1226,1-0,Sicilian Defense: Old Sicilian,B30,https://lichess.org/kSe1wJ8s,60+1,Normal,,,blitz,,1953.0,,,16454,1147,9361,,,bullet,1316.0,,,,39441,1450,53668
Jezumo,hasan11,1807,1620,0-1,Philidor Defense #2,C41,https://lichess.org/cUGTPOs3,720+8,Normal,,,rapid,,1776.0,1730.0,,4081,393,3701,,,puzzle,,,1772.0,1825.0,12469,1274,7699
Abel4865,durrtyb,1534,1487,1-0,Sicilian Defense,B20,https://lichess.org/P3MZC24g,600+2,Normal,,,rapid,,,1640.0,,6760,664,5917,,,puzzle,,,,,384,44,391
